               nEv    nRun  nLumi  nVtx  nTrk  N     trkPt  trkPtError  highPurity  trkNHit  __array_index
548373    54485575  362321    115     1     5  0  0.625179    0.064866       False        3              0
548374    54485575  362321    115     1     5  0  0.341196    0.034553       False        3              1
548375    54485575  362321    115     1     5  0  1.473859    0.228527       False        3              2
548376    54485575  362321    115     1     5  0  0.333626    0.028419       False        3              3
548377    54485575  362321    115     1     5  0  0.494844    0.032216       False        3              4
627524    54972479  362321    116     1     2  0  0.709140    0.046928       False        5              0
627525    54972479  362321    116     1     2  0  0.426889    0.021992       False        4              1
4450655  116022916  362321    241     1     3  0  0.703456    0.016105       False       11              0
4450656  116022916  362321    241     1     3  0  0.543928    0.022248       False        4              1
4450657  116022916  362321    241     1     3  0  0.490926    0.030283       False        4              2
6295274  157318236  362321    329     1     2  0  0.568275    0.023622       False        3              0
6295275  157318236  362321    329     1     2  0  0.508207    0.019480       False        3              1
7190005   19047698  362321     44     1     3  0  0.518827    0.014805       False        4              0
7190006   19047698  362321     44     1     3  0  0.416508    0.037584       False        3              1
7190007   19047698  362321     44     1     3  0  0.171646    0.028943       False        4              2
8369482   37836496  362321     81     1     3  0  0.483411    0.014897       False        4              0
8369483   37836496  362321     81     1     3  0  0.818780    0.022924       False        4              1
8369484   37836496  362321     81     1     3  0  0.486596    0.079693       False        4              2
