            nEv    nRun  nLumi  nVtx  nTrk  N
215    50550955  362321    107     1     4  1
340    54145367  362321    114     1     2  2
689     5187602  362321     15     1     2  2
953    66621504  362321    140     1     2  0
1005   68203798  362321    143     1     3  1
1114   70920565  362321    148     1     2  1
1353   76522101  362321    160     1     3  0
1409   76347473  362321    159     1     2  0
1434   77404247  362321    161     1     2  0
1532   79323292  362321    165     1     3  1
1656   81530627  362321    170     1     2  2
1706   81945119  362321    171     1     5  1
1784   84352544  362321    175     1     3  0
2025   89679110  362321    186     1     2  1
2232   94621499  362321    196     1     2  1
2239   94268040  362321    196     1     2  2
2809  111726628  362321    231     1     2  0
3044  116588899  362321    244     1     2  0
3071  116770290  362321    245     1     2  0
3180  118795037  362321    251     1     3  1
3187  120564707  362321    254     1     2  0
3309  123421606  362321    260     1     3  1
3346  125163828  362321    264     1     3  1
3414  128043474  362321    270     1     2  0
3440  127928134  362321    269     1     3  1
3445  127616455  362321    269     1     2  1
3447  127842611  362321    269     1     2  1
3473  128851232  362321    271     1     3  2
3502  130805323  362321    275     1     2  0
3772  141178450  362321    296     1     3  2
3895  142625067  362321    299     1     4  0
3983  145544735  362321    305     1     2  0
4011  146741114  362321    307     1     3  1
4045  147453226  362321    309     1     3  3
4176   13240963  362321     32     1     2  0
4226  154224940  362321    323     1     3  0
4271  156680897  362321    328     1     2  0
4340  159048971  362321    332     1     2  0
4350  158941199  362321    332     1     4  1
4723   15813960  362321     37     1     4  2
4724   15866723  362321     37     1     2  1
4789     119854  362321      1     1     2  1
4839   18369263  362321     42     1     2  2
4892   19351561  362321     44     1     2  1
4924   20190865  362321     46     1     3  0
5011    1365538  362321      4     1     3  2
5512   32342245  362321     70     1     2  1
5515   32355143  362321     70     1     2  0
5588   34133533  362321     74     1     2  1
5770   38909443  362321     84     1     2  0
5936    3737221  362321      9     1     2  2
6067   44807640  362321     95     1     3  2
6083   46066958  362321     98     1     2  0
6106   45407251  362321     97     1     2  0
6114   45592591  362321     97     1     4  2
