               nEv    nRun  nLumi  nVtx  nTrk  N     trkPt  trkPtError  highPurity  trkNHit  __array_index
392973    50550955  362321    107     1     4  1  1.429164    0.127923       False        9              0
392974    50550955  362321    107     1     4  1  0.401783    0.032018       False        4              1
392975    50550955  362321    107     1     4  1  0.420635    0.010077        True       24              2
392976    50550955  362321    107     1     4  1  0.134935    0.004817       False       14              3
634948    54145367  362321    114     1     2  2  0.329443    0.009641        True       20              0
634949    54145367  362321    114     1     2  2  0.367473    0.010069        True       23              1
1202239    5187602  362321     15     1     2  2  1.742207    0.010074        True       16              0
1202240    5187602  362321     15     1     2  2  0.662270    0.006964        True       15              1
1675608   66621504  362321    140     1     2  0  0.585041    0.045078       False        6              0
1675609   66621504  362321    140     1     2  0  0.784752    0.011344       False       12              1
1764740   68203798  362321    143     1     3  1  0.427684    0.012356       False       10              0
1764741   68203798  362321    143     1     3  1  0.129114    0.025807       False        4              1
1764742   68203798  362321    143     1     3  1  0.380463    0.010779        True       21              2
1965444   70920565  362321    148     1     2  1  1.077538    0.014035       False        9              0
1965445   70920565  362321    148     1     2  1  0.356421    0.008181        True       21              1
2433472   76522101  362321    160     1     3  0  0.789366    0.050604       False        3              0
2433473   76522101  362321    160     1     3  0  0.240987    0.004702       False       13              1
2433474   76522101  362321    160     1     3  0  0.375588    0.070008       False        4              2
2538010   76347473  362321    159     1     2  0  0.343047    0.029853       False        4              0
2538011   76347473  362321    159     1     2  0  0.484982    0.011718       False        6              1
2584799   77404247  362321    161     1     2  0  0.572665    0.004506       False       13              0
2584800   77404247  362321    161     1     2  0  0.514030    0.005929       False       12              1
2745663   79323292  362321    165     1     3  1  1.855573    0.039930        True       24              0
2745664   79323292  362321    165     1     3  1  0.759475    0.015480       False        9              1
2745665   79323292  362321    165     1     3  1  0.279320    0.008813       False        4              2
2975384   81530627  362321    170     1     2  2  0.502503    0.012736        True       21              0
2975385   81530627  362321    170     1     2  2  0.260210    0.006519        True       21              1
3023630   81945119  362321    171     1     5  1  0.947890    0.017716       False       12              0
3023631   81945119  362321    171     1     5  1  0.704359    0.016440        True        4              1
3023632   81945119  362321    171     1     5  1  0.346751    0.007497        True       19              2
3023633   81945119  362321    171     1     5  1  0.296653    0.032210       False        4              3
