            nEv    nRun  nLumi  nVtx  nTrk  N      xVtx      yVtx       zVtx   xVtxErr   yVtxErr   zVtxErr  __array_index
223    50550955  362321    107     1     4  1  0.233908 -0.247658  -1.160827  0.027284  0.027515  0.110386              0
351    54145367  362321    114     1     2  2  0.162187 -0.162635  -8.941772  0.022357  0.021636  0.090618              0
712     5187602  362321     15     1     2  2  0.170721 -0.181730  -8.227017  0.013141  0.005901  0.005024              0
986    66621504  362321    140     1     2  0  0.160625 -0.195594  11.023253  0.011341  0.020896  0.036902              0
1039   68203798  362321    143     1     3  1  0.608479 -0.657672 -10.577930  0.204690  0.199376  1.155782              0
1151   70920565  362321    148     1     2  1  0.178835 -0.204690   4.566402  0.012670  0.027286  0.028387              0
1392   76522101  362321    160     1     3  0  0.165076 -0.161837   1.906868  0.015938  0.017723  0.066908              0
1448   76347473  362321    159     1     2  0  0.161540 -0.235565   7.942695  0.027526  0.032188  0.166124              0
1473   77404247  362321    161     1     2  0  0.198371 -0.183000  -3.454605  0.019110  0.008062  0.009519              0
1574   79323292  362321    165     1     3  1  0.291481 -0.500762  -4.579539  0.062318  0.159291  0.835216              0
1701   81530627  362321    170     1     2  2  0.179959 -0.187058   7.117669  0.019503  0.019627  0.074039              0
1751   81945119  362321    171     1     5  1  0.157700 -0.201456  -3.829329  0.016857  0.014326  0.094338              0
1831   84352544  362321    175     1     3  0  0.197827 -0.175275  -3.244987  0.016905  0.009338  0.009870              0
2073   89679110  362321    186     1     2  1  0.163613 -0.234493  -9.995474  0.007237  0.058146  0.053249              0
2281   94621499  362321    196     1     2  1  0.162487 -0.188758  -5.962033  0.026206  0.025920  0.046216              0
2288   94268040  362321    196     1     2  2  0.187712 -0.186504  -2.061443  0.048356  0.013175  0.056259              0
2877  111726628  362321    231     1     2  0  0.157003 -0.197555   9.597950  0.037739  0.038472  0.226800              0
3113  116588899  362321    244     1     2  0  0.167981 -0.265459   9.475689  0.016982  0.067200  0.097295              0
3140  116770290  362321    245     1     2  0  0.232224 -0.240972  -0.639828  0.066020  0.034308  0.392569              0
3253  118795037  362321    251     1     3  1  0.138682 -0.159868 -17.793550  0.015250  0.016217  0.024738              0
3260  120564707  362321    254     1     2  0  0.287614 -0.092099  -5.545169  0.082272  0.101233  0.374976              0
3382  123421606  362321    260     1     3  1  0.179567 -0.182140  11.233949  0.007285  0.009773  0.008795              0
3419  125163828  362321    264     1     3  1  0.156598 -0.160317  -0.447854  0.010894  0.022364  0.030600              0
3488  128043474  362321    270     1     2  0  0.199414 -0.068250  -3.576685  0.027346  0.074242  0.095909              0
3514  127928134  362321    269     1     3  1  0.171199 -0.189514  -5.878688  0.019562  0.010045  0.012053              0
3519  127616455  362321    269     1     2  1  0.055970 -0.318874  -1.944411  0.039306  0.037693  0.011913              0
3521  127842611  362321    269     1     2  1  0.214795 -0.084965  -5.226151  0.024752  0.059243  0.055496              0
3547  128851232  362321    271     1     3  2  0.172079 -0.198515  -7.220874  0.009544  0.042601  0.097911              0
3576  130805323  362321    275     1     2  0  0.165108 -0.182925  -4.554983  0.014757  0.012496  0.019030              0
3846  141178450  362321    296     1     3  2  0.138384 -0.188441  -9.076679  0.020934  0.020736  0.062624              0
3970  142625067  362321    299     1     4  0  0.076614 -0.186136  -1.027391  0.032312  0.011282  0.042841              0
4060  145544735  362321    305     1     2  0  0.127733 -0.231584   3.213413  0.038920  0.056592  0.127260              0
4088  146741114  362321    307     1     3  1  0.136801 -0.184746   5.837451  0.026340  0.026468  0.097694              0
4123  147453226  362321    309     1     3  3  0.180218 -0.156509  -1.798894  0.018671  0.020516  0.056883              0
4261   13240963  362321     32     1     2  0  0.165457 -0.202410  -3.929711  0.029480  0.021940  0.014820              0
4312  154224940  362321    323     1     3  0  0.174418 -0.189192   2.769568  0.009541  0.016336  0.008508              0
4358  156680897  362321    328     1     2  0  0.189738 -0.206319  -9.530204  0.033937  0.026274  0.172830              0
4428  159048971  362321    332     1     2  0  0.154469 -0.185416  10.397533  0.033331  0.028826  0.031722              0
4440  158941199  362321    332     1     4  1  0.167760 -0.158876  10.291662  0.014255  0.013539  0.037850              0
4826   15813960  362321     37     1     4  2  0.150832 -0.181102   2.964995  0.008562  0.025610  0.037363              0
4827   15866723  362321     37     1     2  1  0.294736 -0.107982 -13.733354  0.162386  0.108615  0.503649              0
4895     119854  362321      1     1     2  1  0.151251 -0.148226  -4.716879  0.062573  0.070667  0.183432              0
4947   18369263  362321     42     1     2  2  0.242220 -0.160879   0.724328  0.048735  0.024355  0.212164              0
5003   19351561  362321     44     1     2  1  0.162698 -0.181173   1.068322  0.013325  0.025611  0.036218              0
5037   20190865  362321     46     1     3  0  0.159234 -0.170894  -9.512294  0.012227  0.014473  0.033068              0
5124    1365538  362321      4     1     3  2  0.147339 -0.190360 -12.414211  0.010298  0.013130  0.019068              0
5637   32342245  362321     70     1     2  1  0.168719 -0.182736   5.590336  0.010509  0.010231  0.015275              0
5640   32355143  362321     70     1     2  0  0.173576 -0.212294   3.899701  0.016808  0.019003  0.013868              0
5714   34133533  362321     74     1     2  1  0.173699 -0.181568   1.466170  0.005507  0.008562  0.006669              0
5902   38909443  362321     84     1     2  0  0.191135 -0.198036   1.830368  0.008737  0.018746  0.015634              0
6071    3737221  362321      9     1     2  2  0.161528 -0.136156   1.827582  0.028548  0.034387  0.099611              0
6204   44807640  362321     95     1     3  2  0.153098 -0.184268   9.086018  0.048202  0.027398  0.137258              0
6220   46066958  362321     98     1     2  0  0.268799 -0.144700 -11.656992  0.039392  0.036465  0.192226              0
6243   45407251  362321     97     1     2  0  0.202196 -0.197335  -1.735802  0.027487  0.015710  0.052348              0
6251   45592591  362321     97     1     4  2  0.221112 -0.188390 -17.961571  0.041388  0.009029  0.051204              0
