          nEv  nVtx   nTrk      xVtx      yVtx       zVtx      trkPt    trkEta  trkNHit  trkNlayer  highPurity
4798     3354     1   2309  0.170690 -0.182565   1.620123   4.067418  2.256641       10          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   3.788669  1.608281       18         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   3.568185  2.375467       14          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   3.452129  0.823470       16         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   3.433198  2.186834       11          6        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   3.417492 -2.242530       16         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.878164  1.895556       24         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.846679  1.684386       17         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.764763 -1.641551       13          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.758215  1.645320       19         15        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.715307  1.746132       12          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.692646  0.270424       13          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.682709  0.976350       11          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.681679  1.779476       27         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.624072  0.245665       19         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.522931 -0.658643       14         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.455750  0.294173       13          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.433385  1.742290       12          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.359261 -2.389896       18         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.303936  1.941197       11          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.254923  1.238615       13         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.253764 -2.352592       21         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.219293  2.291603       12          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   2.206310  2.412415       10          6        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.953410 -1.707294       17         13        True
