          nEv  nVtx  nTrk      xVtx      yVtx       zVtx       trkPt    trkEta  trkNHit  trkNlayer  highPurity
2328     3354     1  2139  0.170542 -0.182705   1.620260    4.156993  2.550085        7          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    3.530150  0.823447       12         10        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    3.146061  2.609376        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.768299  1.779526       20         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.735373 -1.641561       11          7        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.727681  1.895563       12          8        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.664251 -1.474132        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.595455  0.245644       17         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.586959  1.645353        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.481639  2.561917        7          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.461379  1.742264        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.368852  1.941197        9          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.365205  1.835632        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.306975 -2.389901       17         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    2.287280 -2.352594       20         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.970883  1.777909       13          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.938768  2.608238        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.897819 -1.692503        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.871223 -2.132166        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.794110 -0.178930        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.783641  2.536986        7          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.774802  0.083582        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.729200  2.454920        7          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.651322 -2.407209       16         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.643503 -1.098396        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.558179  1.722401       15         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.525332  2.041956       18         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.515292 -0.999279        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.491783  2.072064        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.474598  2.404976        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.444940  1.587374       24         17        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.438807 -1.151617        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.406603 -2.119046       17         10        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.392903 -1.196400        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.392815  2.412789        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.379585 -2.650745        6          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.367211  2.103828       11          7        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.348059  0.203126        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.342876  2.520335        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.329986 -0.900090       14         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.317345 -1.882228        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.315454 -1.785817        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.313180 -0.835024       12         10        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.302781 -0.024096        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.300972  1.034562       14         10        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.287061 -1.892890       24         15        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.282451  1.809067       19         15        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.278812 -2.481279        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.275076 -0.493553        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.274253  2.418594        7          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.267750  0.296323       16         14        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.267208 -2.192981        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.267144 -0.646933       15         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.243383  2.407777        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.225673  1.659739        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.221736 -2.289482       17         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.210846  2.582980        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.210603 -2.172776       18         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.209673  2.082061       16         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.206252  1.218851        9          7        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.204772  1.606390       18         14        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.200869  0.753599       14         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.187077 -2.244833       16         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.185571  1.767226        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.184166  2.070052        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.172048  2.006050        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.171778  1.778094       20         16        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.155043 -0.215798       16         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.153702  1.162376       13          9        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.147599 -1.412662        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.144449 -1.935654       11          8        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.142127  0.361048        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.141422  1.187858        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.136473  0.708411        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.133611 -1.338351        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.116456  1.486635       10          8        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.113375 -1.665961        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.108885 -0.186292        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.107228  1.339209        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.105257 -0.271863        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.104305 -0.065275       14         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.091978  1.820946       16         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.090537  2.344557        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.089816 -2.648750        5          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.088851 -1.982358        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.083284 -1.903279       17         10        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.080218  1.329540       14         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.079276  1.961399       24         16        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.058060  1.141435        9          8        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.057631 -1.142295       15         10        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.055064  0.601350       16         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.046200  1.750787       20         14        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.045619 -2.273770        7          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.043690  2.417699       12          8        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.034005 -0.746639       16         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.030908  0.608007       16         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.028694  0.750803        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.022072 -1.738157       19         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.021315  2.204878       20         14        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.015865 -2.285090        6          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.010352  1.707605        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    1.002653  1.872438        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.993784  1.402099        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.992879 -1.630015       17         14        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.985123  0.116889       14         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.980987  1.497853        6          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.979503  0.477026        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.976761  1.395782        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.976341  2.607410        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.976217  1.045942       13         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.975926 -1.458245        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.966580  2.578368        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.950623 -1.101035        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.949539 -1.853325        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.948471 -2.160034        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.946860  0.677466        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.940730  1.924825        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.936494  1.825117        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.933603  1.367067        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.932221  0.120058       17         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.932093 -1.829986        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.927268 -0.156013        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.923671  1.035217        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.921891  2.490548        6          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.921060 -1.089948        7          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.920994  2.527101        9          7        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.916266 -2.510353        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.915452 -1.312374       18         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.911567 -1.884266       25         16        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.908644 -2.440373        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.908331  1.324410        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.899880  1.943556       22         16        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.898038  1.069829        9          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.895862 -0.146771        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.894781 -1.333047        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.891209  0.240170       17         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.889729 -1.458084        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.888314  1.106398        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.886164  0.707249        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.880380 -1.058715       16         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.865462  0.840076        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.864063  0.120206        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.861213  1.457760       14         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.860960  0.366604       18         14        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.858517 -1.018545        7          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.857790  0.960710        8          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.850578  1.732236       17         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.849960 -2.174326        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.849587  1.491964        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.848682  1.398954        6          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.844786 -1.128792        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.844347 -0.718515        8          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.842721 -0.976171        7          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.839765 -0.450653       20         14        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.836957  2.302302        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.834698 -0.914615       15          9        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.829524  2.610181        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.829103 -1.540292        8          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.829059 -1.485204        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.823494 -1.021998        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.822991  2.274049        5          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.818829 -0.409879        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.815746 -2.173063        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.814500  0.797981        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.812526  1.868470       19         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.808000  1.886489        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.803898 -2.025983        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.803454  1.568043       16         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.802861  1.074165        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.798923 -2.374705        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.796706  2.381710        9          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.786285 -0.682873        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.780004  1.763855       12          9        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.779082  0.263939       17         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.778778  1.847560       19         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.775619 -1.142844        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.771843 -0.054738       16         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.771738  1.672429        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.767960  0.389988       20         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.764792 -0.544798        9          8        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.764135  2.366587        6          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.762782 -1.713604        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.759849 -1.073825        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.758858  1.174636        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.757618 -0.394048        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.753784  0.990170       13         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.749622  0.250863       20         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.747765  1.059752       16         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.746247  1.827534       22         15        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.744293  2.420019        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.741625  0.858244        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.739727  1.069926       13         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.738670 -2.430140        6          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.738293 -2.072355        5          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.737984  1.348513        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.737187  0.648037        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.736816  1.893805        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.732520 -0.875084        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.731170  2.523738        6          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.730970 -1.919338        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.730591  0.041341       10          9        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.726056  0.867312       18         13        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.721042  0.124642       15         11        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.720787  1.144169        8          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.716792 -1.332167       11          8        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.716000  0.817046       15         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.715688 -1.499261       21         15        True
