         nEv  nVtx  nTrk      xVtx      yVtx       zVtx      trkPt    trkEta  trkNHit  trkNlayer  highPurity
2328    3354     1  2139  0.170542 -0.182705   1.620260   6.633264 -0.569118       13         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   6.020441 -2.776176        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   5.508840  0.975401       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   5.052516 -1.542583       19         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   5.048223 -0.875511       18         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   3.822148  1.570062        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   3.613634 -0.898007       15         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   3.545007  1.444232        6          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   3.460864  2.046099       19         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   3.076016  1.733099       22         16        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   3.042898 -2.686445        5          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   3.020116  0.532366       16         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.992945  0.883289       11         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.943305  1.734247        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.939799  1.848752       19         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.915230 -2.955246        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.903286 -0.930158       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.899030  2.299129       21         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.893307 -2.119802       21         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.861555  1.742602       12          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.834771  0.191427       17         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.833981 -2.694286        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.779278  2.649586        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.754670  1.765662       19         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.719574  1.356591        6          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.710562  2.082563        9          7        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.667120 -0.252044       13         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.644311 -2.171761       18         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.584373 -0.346000       19         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.573117  2.748978        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.536679 -0.811609       16         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.532734 -1.067786       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.529212 -0.038935       15         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.496655  0.766229        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.494536  0.478067       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.489038  2.258966        6          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.488080  0.560910       18         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.486960  0.854006       12         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.460627 -0.722300       20         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.446276  1.178219       10          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.411979 -0.236746       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.385284  0.026791       18         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.369695 -2.237907       16         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.351750 -0.551487        8          6        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.348848 -2.630691        5          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.338231  0.440460       15         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.325680  1.800323       24         16        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.310126 -0.841051       15         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.301771 -2.136734       18         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.282589  0.431453       19         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.262265  2.093258       20         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.256878 -2.918889        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.249824 -0.527943        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.218306  0.463522       16         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.214357  1.119236       13         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.202212  1.213293       14         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.197200  0.659822       18         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.197068 -1.601486       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.185148 -2.687757        5          4        True
